period,ticker1,ticker2,cosine_similarity
2019Q1,KO,PEP,0.23130761718510182
2019Q2,KO,PEP,0.2532592142878771
2019Q3,KO,PEP,0.24184714908313681
2019Q4,KO,PEP,0.29596233454025844
2020Q1,KO,PEP,0.2312349682780232
2020Q2,KO,PEP,0.4361131207682362
2020Q3,KO,PEP,0.4552145013438654
2020Q4,KO,PEP,0.23928572540302823
2021Q1,KO,PEP,0.68595801738381
2021Q2,KO,PEP,0.685915719830237
2021Q3,KO,PEP,0.6791649015666541
2021Q4,KO,PEP,0.6841282869313504
2022Q1,KO,PEP,0.6526423601069815
2022Q2,KO,PEP,0.6871561533952971
2022Q3,KO,PEP,0.6618623570849522
2022Q4,KO,PEP,0.6671565987771652
2023Q1,KO,PEP,0.704626871328532
2023Q2,KO,PEP,0.6573496146333545
2023Q3,KO,PEP,0.6855280189178926
2023Q4,KO,PEP,0.6556439677709389
2024Q1,KO,PEP,0.6742218166945334
2024Q2,KO,PEP,0.6734369352166673
2024Q4,KO,PEP,0.6952441664587476
2025Q1,KO,PEP,0.7156788817440161
2025Q2,KO,PEP,0.6855024078708882
2025Q3,KO,PEP,0.5768659489619653
